NBN Atlas record ID,Scientific name,Name qualifier,Common name,Species ID (TVK),Taxon Rank,Occurrence status,Start date year,Locality,OSGR,Latitude,Longitude,Coordinate uncertainty_m,Identification verification status,Vitality
fd44c89f-dc54-4bc8-b242-b25f34714c67,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,NO64G,56.57747,-2.60386,2000,Unconfirmed,
fbcf21ec-d168-4b2b-9644-d798e0d296b8,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,SD31R,53.60975,-2.95368,2000,Accepted - considered correct,
fbc7523e-c291-497f-8c1f-821e7a715e7a,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,NS99Z,56.17291,-3.62832,2000,Unconfirmed,
f9dad20d-9ea8-4b58-aafd-cdeee990d703,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,SD31W,53.60999,-2.92346,2000,Accepted - considered correct,
f55a1c93-8b8d-4f9d-88be-b81561231bc9,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,SD31V,53.59201,-2.92306,2000,Accepted - considered correct,
e2d32bf2-d58d-4cfc-ae48-ac5668d7842f,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,SD30N,53.55558,-2.98265,2000,Accepted - considered correct,
d98ebb76-0ea3-48f1-a667-e62c5bbe609a,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,SD31W,53.60999,-2.92346,2000,Accepted - considered correct,
d8d2d753-3a2f-4706-9ce2-e9288e16d16f,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,Inverfarigaig,NH521239,57.28218,-4.4543,100,Accepted,
d798ecd2-9f45-40e9-83cf-2f6082528192,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,SD31W,53.60999,-2.92346,2000,Accepted - considered correct,
c1053ae3-4903-4fec-a33b-eff750e36ca6,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,Craigdarroch,NH4421357355,57.57929,-4.60706,1,Accepted,
b45923be-752d-43fa-8946-6b2fd4db817f,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,SD40L,53.52078,-2.83102,2000,Accepted - considered correct,
a92faad1-d467-4f96-9bdb-cead939c1a39,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,SD40J,53.57449,-2.86227,2000,Accepted - considered correct,
a8683a15-b106-4f3c-9583-b2835ae6d82c,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,SD31W,53.60999,-2.92346,2000,Accepted - considered correct,
9593f7d0-a3b5-42c8-8463-68faf2c4a847,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,SD31W,53.60999,-2.92346,2000,Accepted - considered correct,
94dcf5fa-2247-4f55-b786-9ef5c23e9015,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,NO64H,56.59544,-2.60415,2000,Unconfirmed,
